Frequency [Hz], Amplitude [dB], Phase [deg]
10, -3.586205, -58.430489
11.10697248729463, -4.167719, -59.989712
12.336483783351985, -4.919299, -62.651814
13.702098597164685, -5.921377, -65.504036
15.218883213690651, -6.798632, -64.651871
16.90357171418121, -7.645609, -67.742966
18.774750596642246, -8.800569, -67.748932
20.853063833272373, -10.147622, -67.587875
23.161440627195496, -11.321271, -65.684296
25.72534838123684, -12.927712, -64.845436
28.573073669646703, -14.503796, -62.38866
31.736034312620856, -16.43297, -56.801754
35.249125996611816, -18.471167, -48.994991
39.15110726455493, -20.657116, -34.6381
43.485027123453236, -22.134609, -10.5818
48.29869998694558, -21.676182, 14.733501
53.6452331927102, -19.844501, 33.527702
59.58361291459369, -17.747097, 44.660091
66.17935493360051, -15.800386, 51.344284
73.50522744744069, -14.089488, 55.116241
81.64205389310578, -12.509441, 57.036057
90.67960463969513, -11.094055, 57.372128
100.71758738918481, -9.875014, 56.711258
111.86674721183684, -8.820028, 55.98069
124.25008835250149, -7.812454, 54.999725
138.0042312875161, -6.876569, 53.377495
153.2809200040686, -6.060996, 51.364998
170.2486961312397, -5.301971, 49.381229
189.09475839274631, -4.567294, 47.121265
210.02702789598587, -3.997207, 44.503685
233.27644204289766, -3.419183, 42.182823
259.09950237044444, -2.907948, 39.175526
287.7811044300256, -2.46713, 36.669788
319.6376809267557, -2.106761, 33.892681
355.0206927956135, -1.810797, 31.486343
394.3205067301158, -1.493887, 28.88521
437.9707019427473, -1.290681, 26.275713
486.4528536719211, -1.06685, 23.939581
540.3018462099988, -0.916071, 21.912216
600.1117740688951, -0.841651, 20.006819
666.5424963884789, -0.645134, 17.613077
740.3269168999514, -0.515312, 16.37702
822.2790697611417, -0.479793, 14.953885
913.3031004715224, -0.481786, 13.589111
1014.4032409498082, -0.431157, 12.073703
1126.6948888252023, -0.421119, 10.958982
1251.4169131757003, -0.353981, 10.108148
1389.9453224777676, -0.330214, 9.212404
1543.8084455604426, -0.340772, 8.445852
1714.7037930492927, -0.336637, 7.342037
1904.5167853258238, -0.326903, 6.994961
2115.341553620474, -0.307534, 6.458213
2349.504043729368, -0.276955, 6.132475
2609.5876772489564, -0.268456, 5.600432
2898.4618534387228, -0.272544, 5.29126
3219.3136061616897, -0.195278, 4.849311
3575.6827651611143, -0.207209, 4.643888
3971.5010095938082, -0.16971, 4.463131
4411.135244682127, -0.174847, 4.294708
4899.435780042005, -0.130161, 4.199688
5441.789841219344, -0.12591, 3.94018
6044.181004806267, -0.130348, 3.659961
6713.255212861202, -0.086513, 3.596138
7456.394094943663, -0.073571, 3.353658
8281.79640669654, -0.071622, 3.087133
9198.5684834554, -0.059284, 3.161132
10216.82470682345, -0.030678, 2.97401
11347.799092620007, -0.0148, 2.64383
12603.96923130774, 0.020869, 2.790072
13999.19394828431, -0.002222, 2.710336
15548.866202789532, -0.030731, 2.622859
17270.082912300863, 0.005495, 2.950951
19181.83357602228, -0.013444, 3.049011
21305.209778474382, -0.026983, 2.982066
23663.637884555545, -0.018109, 3.192963
26283.137493306134, -0.03843, 3.679342
29192.60850179332, -0.021518, 4.044235
32424.149946178168, -0.0265, 3.806621
36013.41413761165, -0.044884, 3.925821
40000.000000000015, -0.040077, 4.40483
