Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.532634, -7.995451
11.10697248729463, 0.558941, -6.902554
12.336483783351985, 0.604036, -6.027906
13.702098597164685, 0.664172, -5.23492
15.218883213690651, 0.695474, -4.517429
16.90357171418121, 0.773189, -4.080565
18.774750596642246, 0.754993, -3.369917
20.853063833272373, 0.814913, -3.125133
23.161440627195496, 0.865899, -2.827117
25.72534838123684, 0.901779, -2.749647
28.573073669646703, 0.913168, -2.676604
31.736034312620856, 0.937379, -2.49676
35.249125996611816, 0.980472, -2.513995
39.15110726455493, 0.99345, -2.562996
43.485027123453236, 0.979382, -2.621188
48.29869998694558, 0.993685, -2.999682
53.6452331927102, 0.983155, -2.905441
59.58361291459369, 0.966212, -3.143549
66.17935493360051, 0.923357, -3.200948
73.50522744744069, 0.879421, -3.438384
81.64205389310578, 0.801505, -3.465966
90.67960463969513, 0.767986, -3.408905
100.71758738918481, 0.706853, -3.646931
111.86674721183684, 0.657056, -3.716307
124.25008835250149, 0.598434, -3.777981
138.0042312875161, 0.550648, -3.608951
153.2809200040686, 0.505099, -3.535329
170.2486961312397, 0.460679, -3.612468
189.09475839274631, 0.42496, -3.289387
210.02702789598587, 0.36595, -3.366734
233.27644204289766, 0.287675, -3.287729
259.09950237044444, 0.263592, -3.175418
287.7811044300256, 0.231667, -3.130608
319.6376809267557, 0.175713, -2.626504
355.0206927956135, 0.170852, -2.649549
394.3205067301158, 0.11395, -2.518509
437.9707019427473, 0.099123, -2.520692
486.4528536719211, 0.037905, -2.287434
540.3018462099988, 0.021898, -2.13306
600.1117740688951, -0.012948, -1.951042
666.5424963884789, 0.030118, -2.111293
740.3269168999514, -0.04488, -1.785642
822.2790697611417, -0.086114, -1.621195
913.3031004715224, -0.130914, -1.612479
1014.4032409498082, -0.11595, -1.456526
1126.6948888252023, -0.146167, -1.239695
1251.4169131757003, -0.171266, -1.122719
1389.9453224777676, -0.189545, -0.925599
1543.8084455604426, -0.211334, -0.635192
1714.7037930492927, -0.228828, -0.573428
1904.5167853258238, -0.248641, -0.460764
2115.341553620474, -0.253097, -0.031874
2349.504043729368, -0.242335, 0.06003
2609.5876772489564, -0.250535, 0.238297
2898.4618534387228, -0.221758, 0.639683
3219.3136061616897, -0.227443, 0.494615
3575.6827651611143, -0.223613, 0.902119
3971.5010095938082, -0.198574, 0.979612
4411.135244682127, -0.158094, 0.979382
4899.435780042005, -0.17201, 1.180365
5441.789841219344, -0.097996, 1.218773
6044.181004806267, -0.12784, 1.31164
6713.255212861202, -0.104231, 1.293094
7456.394094943663, -0.073857, 1.414896
8281.79640669654, -0.092654, 1.214992
9198.5684834554, -0.062291, 1.638792
10216.82470682345, -0.049863, 1.745146
11347.799092620007, -0.050815, 1.373932
12603.96923130774, -0.013153, 1.709031
13999.19394828431, -0.036786, 1.665126
15548.866202789532, -0.036415, 1.599697
17270.082912300863, -0.029039, 1.914335
19181.83357602228, -0.035446, 2.414657
21305.209778474382, -0.052709, 2.595912
23663.637884555545, -0.055734, 2.702348
26283.137493306134, -0.027609, 2.979302
29192.60850179332, -0.033902, 3.373592
32424.149946178168, -0.03065, 3.587317
36013.41413761165, -0.010153, 3.717332
