Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.273357, -10.19731
10.974987654930562, 0.346903, -9.114727
12.045035402587825, 0.282316, -8.394955
13.219411484660288, 0.282591, -7.658282
14.508287784959395, 0.293374, -6.960645
15.922827933410922, 0.306989, -6.576743
17.47528400007684, 0.261438, -5.744967
19.179102616724887, 0.267282, -5.137308
21.04904144512021, 0.285462, -4.713163
23.101297000831604, 0.320584, -4.295275
25.353644939701113, 0.314907, -3.982334
27.825594022071243, 0.338278, -3.76267
30.538555088334157, 0.35586, -3.338738
33.516026509388425, 0.376071, -3.003543
36.783797718286344, 0.387475, -2.773164
40.37017258596554, 0.41498, -2.585254
44.30621457583882, 0.436829, -2.490541
48.62601580065353, 0.440839, -2.245473
53.3669923120631, 0.454533, -2.304413
58.570208180566674, 0.463472, -2.374529
64.28073117284322, 0.453707, -2.357856
70.54802310718645, 0.479498, -2.519581
77.4263682681127, 0.479832, -2.65548
84.97534359086447, 0.461833, -2.619778
93.26033468832199, 0.438129, -2.865105
102.35310218990269, 0.447011, -2.869482
112.33240329780277, 0.458065, -3.267097
123.28467394420659, 0.41364, -3.27658
135.30477745798075, 0.418865, -3.496385
148.4968262254465, 0.396356, -3.802195
162.97508346206433, 0.357152, -4.08229
178.8649529057435, 0.373105, -4.269173
196.30406500402722, 0.34141, -4.505116
215.44346900318845, 0.301351, -4.681595
236.44894126454074, 0.291109, -5.223757
259.5024211399737, 0.220478, -5.420477
284.8035868435802, 0.249717, -5.817172
312.5715849688235, 0.179015, -6.18348
343.04692863149194, 0.177516, -6.730388
376.49358067924715, 0.152964, -7.138687
413.20124001153386, 0.083507, -7.447389
453.4878508128582, 0.093344, -7.880856
497.7023564332114, 0.038668, -8.790867
546.2277217684342, -0.012217, -9.218947
599.4842503189409, -0.014554, -9.974861
657.9332246575682, -0.082819, -10.700882
722.0809018385471, -0.094514, -11.577077
792.4828983539178, -0.171295, -12.566285
869.7490026177834, -0.22677, -13.779436
954.5484566618347, -0.29113, -14.81673
1047.615752789665, -0.359954, -16.133762
1149.7569953977368, -0.444844, -17.509161
1261.856883066021, -0.547176, -18.870964
1384.886371393873, -0.659176, -20.493956
1519.9110829529347, -0.786868, -22.160227
1668.100537200059, -0.913342, -23.846952
1830.7382802953698, -1.082492, -25.744198
2009.2330025650479, -1.304055, -27.9935
2205.1307399030457, -1.551829, -30.252548
2420.1282647943835, -1.790691, -32.34407
2656.0877829466867, -2.079344, -34.66164
2915.053062825179, -2.422305, -37.079971
3199.2671377973847, -2.79723, -39.442692
3511.1917342151346, -3.278939, -41.945377
3853.5285937105314, -3.794085, -44.176311
4229.242874389499, -4.299135, -46.148075
4641.588833612782, -4.886041, -48.468708
5094.138014816381, -5.513043, -50.451038
5590.8101825122285, -6.21118, -52.24593
6135.907273413175, -7.011081, -53.845192
6734.150657750828, -7.836074, -55.330078
7390.7220335257825, -8.72395, -56.281197
8111.308307896872, -9.731742, -57.01136
8902.150854450392, -10.818241, -57.376148
9770.099572992256, -11.990436, -57.104591
10722.672220103253, -13.327647, -55.946259
11768.119524349991, -14.850693, -53.218655
12915.496650148827, -16.439688, -48.689995
14174.741629268077, -18.428448, -41.603481
15556.761439304722, -20.392986, -29.07497
17073.526474706923, -21.833611, -9.505936
18738.174228603868, -21.868597, 14.08556
20565.123083486513, -20.445528, 33.644566
22570.197196339213, -18.528934, 46.247921
24770.76355991714, -16.567076, 52.789898
27185.8824273294, -14.814285, 57.847095
29836.472402833402, -13.368772, 61.246948
32745.491628777316, -11.941259, 61.817429
35938.13663804626, -10.614323, 62.429588
39442.06059437664, -9.708975, 61.843971
43287.612810830615, -8.78343, 60.806656
47508.101621027934, -7.779113, 60.519169
52140.08287999695, -6.959409, 59.890011
57223.6765935022, -6.263416, 59.121567
62802.914418342596, -5.519346, 57.885223
68926.12104349709, -4.807749, 56.443958
75646.3327554629, -4.228062, 55.141594
83021.75681319751, -3.695312, 54.235565
91116.27561154906, -3.128235, 52.325569
100000, -2.702268, 50.431011
