Frequency [Hz], Amplitude [dB], Phase [deg]
10, 3.439351, 25.326441
11.10697248729463, 3.920722, 27.106848
12.336483783351985, 4.456096, 29.127377
13.702098597164685, 5.035662, 31.37042
15.218883213690651, 5.993511, 32.362278
16.90357171418121, 6.622036, 32.44043
18.774750596642246, 7.447165, 32.669556
20.853063833272373, 8.215399, 33.228405
23.161440627195496, 9.180598, 30.191376
25.72534838123684, 9.886218, 28.28689
28.573073669646703, 10.635972, 24.897156
31.736034312620856, 11.465206, 19.481451
35.249125996611816, 11.963312, 13.431561
39.15110726455493, 12.249674, 6.089433
43.485027123453236, 12.46132, -1.22492
48.29869998694558, 12.345945, -8.871254
53.6452331927102, 12.064829, -15.812477
59.58361291459369, 11.526225, -22.167961
66.17935493360051, 10.866343, -27.453815
73.50522744744069, 10.171657, -31.653322
81.64205389310578, 9.290048, -34.67783
90.67960463969513, 8.604165, -36.667938
100.71758738918481, 7.851187, -38.014961
111.86674721183684, 7.109315, -38.743961
124.25008835250149, 6.32091, -38.934113
138.0042312875161, 5.555745, -38.198685
153.2809200040686, 4.777477, -37.486721
170.2486961312397, 4.193637, -36.28867
189.09475839274631, 3.618244, -34.965611
210.02702789598587, 3.133911, -33.458076
233.27644204289766, 2.681193, -31.576775
259.09950237044444, 2.299049, -29.842205
287.7811044300256, 1.966824, -27.655132
319.6376809267557, 1.669076, -25.94927
355.0206927956135, 1.418893, -24.058197
394.3205067301158, 1.17168, -22.300646
437.9707019427473, 0.990295, -20.626884
486.4528536719211, 0.827846, -18.860027
540.3018462099988, 0.706109, -17.463488
600.1117740688951, 0.531787, -15.883552
666.5424963884789, 0.436481, -14.557529
740.3269168999514, 0.343196, -13.35086
822.2790697611417, 0.234573, -12.035526
913.3031004715224, 0.15821, -11.095882
1014.4032409498082, 0.079307, -10.009495
1126.6948888252023, 0.016917, -8.956952
1251.4169131757003, -0.023829, -8.061747
1389.9453224777676, -0.08765, -7.272381
1543.8084455604426, -0.114589, -6.422644
1714.7037930492927, -0.152786, -5.827773
1904.5167853258238, -0.171639, -4.953253
2115.341553620474, -0.191975, -4.552639
2349.504043729368, -0.220421, -3.688428
2609.5876772489564, -0.193617, -3.225033
2898.4618534387228, -0.219945, -2.646294
3219.3136061616897, -0.211723, -2.216232
3575.6827651611143, -0.205308, -1.568688
3971.5010095938082, -0.20878, -1.428754
4411.135244682127, -0.188775, -1.215479
4899.435780042005, -0.179436, -0.854673
5441.789841219344, -0.123393, -0.672752
6044.181004806267, -0.115718, -0.190776
6713.255212861202, -0.092502, 0.079342
7456.394094943663, -0.129395, 0.233066
8281.79640669654, -0.075023, 0.203154
9198.5684834554, -0.08758, 0.384168
10216.82470682345, -0.056646, 0.651342
11347.799092620007, -0.046604, 0.70299
12603.96923130774, -0.020419, 0.829234
13999.19394828431, -0.029279, 0.945859
15548.866202789532, -0.058086, 1.097391
17270.082912300863, -0.022721, 1.592352
19181.83357602228, -0.065959, 1.932883
21305.209778474382, -0.054787, 2.25649
23663.637884555545, -0.051605, 2.335718
26283.137493306134, -0.025217, 2.688415
29192.60850179332, -0.029171, 2.991293
32424.149946178168, -0.05458, 2.982777
36013.41413761165, -0.049044, 3.406627
40000.000000000015, -0.091357, 3.585773
