Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.221478, -6.131633
11.10697248729463, 0.189778, -4.490428
12.336483783351985, 0.211609, -2.994394
13.702098597164685, 0.187042, -1.539992
15.218883213690651, 0.173534, 0.098058
16.90357171418121, 0.160882, 1.450549
18.774750596642246, 0.190374, 2.898066
20.853063833272373, 0.183335, 4.562819
23.161440627195496, 0.249663, 5.993751
25.72534838123684, 0.315809, 7.856844
28.573073669646703, 0.375728, 9.523931
31.736034312620856, 0.476659, 11.399766
35.249125996611816, 0.51449, 13.279643
39.15110726455493, 0.655536, 14.975768
43.485027123453236, 0.756005, 16.912405
48.29869998694558, 0.879803, 19.444666
53.6452331927102, 1.028864, 21.672052
59.58361291459369, 1.182163, 24.172119
66.17935493360051, 1.378209, 26.852875
73.50522744744069, 1.624866, 29.743404
81.64205389310578, 1.975181, 32.71312
90.67960463969513, 2.353985, 35.489365
100.71758738918481, 2.720405, 37.833683
111.86674721183684, 3.145137, 40.912392
124.25008835250149, 3.616063, 43.863258
138.0042312875161, 4.270998, 46.489441
153.2809200040686, 4.895195, 49.092514
170.2486961312397, 5.757105, 51.648579
189.09475839274631, 6.603128, 53.774242
210.02702789598587, 7.426886, 55.597218
233.27644204289766, 8.316749, 57.630852
259.09950237044444, 9.301712, 58.854942
287.7811044300256, 10.425166, 60.323978
319.6376809267557, 11.447083, 60.720646
355.0206927956135, 12.750938, 60.291279
394.3205067301158, 14.260731, 59.125603
437.9707019427473, 15.932097, 56.760761
486.4528536719211, 17.854589, 51.799286
540.3018462099988, 19.912149, 41.300907
600.1117740688951, 21.588408, 19.948885
666.5424963884789, 21.614754, -8.414246
740.3269168999514, 20.207754, -31.799706
822.2790697611417, 18.080231, -46.426445
913.3031004715224, 16.23724, -54.048912
1014.4032409498082, 14.477247, -57.725666
1126.6948888252023, 12.997187, -59.496037
1251.4169131757003, 11.508513, -60.583256
1389.9453224777676, 10.324428, -60.99535
1543.8084455604426, 9.231925, -60.087845
1714.7037930492927, 8.243819, -58.895889
1904.5167853258238, 7.303296, -56.910984
2115.341553620474, 6.482018, -55.040401
2349.504043729368, 5.671415, -52.627071
2609.5876772489564, 4.835957, -49.865471
2898.4618534387228, 4.10011, -46.73373
3219.3136061616897, 3.444638, -44.057377
3575.6827651611143, 2.933669, -40.737324
3971.5010095938082, 2.505792, -38.203304
4411.135244682127, 2.106648, -35.604542
4899.435780042005, 1.722723, -32.897305
5441.789841219344, 1.467515, -29.961468
6044.181004806267, 1.188736, -27.463858
6713.255212861202, 1.041634, -24.671062
7456.394094943663, 0.882848, -22.388977
8281.79640669654, 0.669769, -20.461447
9198.5684834554, 0.555715, -18.484852
10216.82470682345, 0.517712, -16.479816
11347.799092620007, 0.378958, -14.830608
12603.96923130774, 0.313734, -13.32817
13999.19394828431, 0.227, -11.78198
15548.866202789532, 0.24146, -10.520624
17270.082912300863, 0.170539, -9.357327
19181.83357602228, 0.098788, -7.758773
21305.209778474382, 0.063587, -6.585426
23663.637884555545, 0.052738, -5.241965
26283.137493306134, 0.045024, -4.292595
29192.60850179332, 0.029875, -3.083027
32424.149946178168, 0.001739, -2.343036
36013.41413761165, 0.013636, -1.38247
40000.000000000015, -0.058033, -0.572971
