Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.291417, -9.872122
10.974987654930562, 0.33159, -8.951281
12.045035402587825, 0.286028, -8.153975
13.219411484660288, 0.258007, -7.235848
14.508287784959395, 0.283639, -6.709759
15.922827933410922, 0.321237, -5.986915
17.47528400007684, 0.272541, -5.20185
19.179102616724887, 0.29318, -4.587676
21.04904144512021, 0.292022, -4.001601
23.101297000831604, 0.299598, -3.43101
25.353644939701113, 0.331649, -3.073468
27.825594022071243, 0.342339, -2.763673
30.538555088334157, 0.352162, -2.274841
33.516026509388425, 0.353415, -1.744343
36.783797718286344, 0.373529, -1.608781
40.37017258596554, 0.407618, -1.403413
44.30621457583882, 0.396901, -1.175047
48.62601580065353, 0.433939, -0.918572
53.3669923120631, 0.417778, -0.603777
58.570208180566674, 0.439748, -0.541798
64.28073117284322, 0.45823, -0.43983
70.54802310718645, 0.448898, -0.178732
77.4263682681127, 0.471518, 0.038538
84.97534359086447, 0.450003, -0.191683
93.26033468832199, 0.462265, 0.200858
102.35310218990269, 0.435723, 0.432182
112.33240329780277, 0.441762, 0.410882
123.28467394420659, 0.460087, 0.661024
135.30477745798075, 0.43838, 0.81035
148.4968262254465, 0.408974, 0.893054
162.97508346206433, 0.399581, 1.004521
178.8649529057435, 0.376801, 1.364876
196.30406500402722, 0.367975, 1.63291
215.44346900318845, 0.323242, 1.891533
236.44894126454074, 0.321078, 2.117877
259.5024211399737, 0.338685, 2.606416
284.8035868435802, 0.303497, 3.151797
312.5715849688235, 0.289615, 3.63894
343.04692863149194, 0.277383, 3.868649
376.49358067924715, 0.287107, 4.510894
413.20124001153386, 0.278434, 5.266223
453.4878508128582, 0.255832, 6.02769
497.7023564332114, 0.258267, 6.648025
546.2277217684342, 0.274678, 7.45547
599.4842503189409, 0.298594, 8.40377
657.9332246575682, 0.323672, 9.284839
722.0809018385471, 0.343785, 10.393142
792.4828983539178, 0.404221, 11.424037
869.7490026177834, 0.439577, 12.795966
954.5484566618347, 0.457022, 13.800282
1047.615752789665, 0.548903, 15.498797
1149.7569953977368, 0.635529, 16.794037
1261.856883066021, 0.725177, 18.282515
1384.886371393873, 0.833285, 19.865709
1519.9110829529347, 0.921293, 21.844975
1668.100537200059, 1.103175, 23.883608
1830.7382802953698, 1.22339, 26.008366
2009.2330025650479, 1.463207, 27.886658
2205.1307399030457, 1.661743, 30.020283
2420.1282647943835, 1.930537, 32.445385
2656.0877829466867, 2.208464, 34.760296
2915.053062825179, 2.52706, 37.306137
3199.2671377973847, 2.913418, 39.666161
3511.1917342151346, 3.359966, 42.49519
3853.5285937105314, 3.759332, 44.705063
4229.242874389499, 4.425837, 46.868557
4641.588833612782, 5.085299, 48.730743
5094.138014816381, 5.751582, 50.800751
5590.8101825122285, 6.460601, 52.701443
6135.907273413175, 7.165193, 54.444439
6734.150657750828, 7.928988, 55.993141
7390.7220335257825, 8.842031, 57.576382
8111.308307896872, 9.707366, 58.759953
8902.150854450392, 10.798775, 59.235855
9770.099572992256, 11.846688, 59.757286
10722.672220103253, 13.346467, 58.154057
11768.119524349991, 14.773534, 58.906742
12915.496650148827, 16.192389, 56.192944
14174.741629268077, 16.953104, 42.356991
15556.761439304722, 19.8647, 36.276878
17073.526474706923, 20.537169, 14.810679
18738.174228603868, 20.801445, -0.636682
20565.123083486513, 19.800335, -22.782824
22570.197196339213, 17.625923, -33.686737
24770.76355991714, 16.86269, -39.521713
27185.8824273294, 14.312637, -45.933971
29836.472402833402, 13.12001, -50.401726
32745.491628777316, 11.680729, -48.434338
35938.13663804626, 10.97724, -48.80962
39442.06059437664, 10.148943, -48.544067
43287.612810830615, 9.131122, -50.521469
47508.101621027934, 8.614038, -50.308434
52140.08287999695, 7.713495, -49.461674
57223.6765935022, 6.708745, -46.019867
62802.914418342596, 6.117539, -43.99995
68926.12104349709, 5.388199, -41.646011
75646.3327554629, 4.73593, -39.118561
83021.75681319751, 4.145796, -37.523994
91116.27561154906, 3.656944, -33.611649
100000, 3.208242, -29.36442
