Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.289974, -10.113647
10.974987654930562, 0.395685, -8.977221
12.045035402587825, 0.299623, -8.035741
13.219411484660288, 0.277918, -7.28239
14.508287784959395, 0.298239, -6.642167
15.922827933410922, 0.316629, -5.998171
17.47528400007684, 0.266575, -5.289447
19.179102616724887, 0.260143, -4.697164
21.04904144512021, 0.322563, -3.984164
23.101297000831604, 0.300314, -3.620958
25.353644939701113, 0.312353, -3.050833
27.825594022071243, 0.348639, -2.701491
30.538555088334157, 0.346174, -2.490292
33.516026509388425, 0.40095, -2.001595
36.783797718286344, 0.405499, -1.775123
40.37017258596554, 0.406515, -1.558732
44.30621457583882, 0.436619, -1.44641
48.62601580065353, 0.425047, -1.193364
53.3669923120631, 0.46536, -1.120276
58.570208180566674, 0.454057, -0.904467
64.28073117284322, 0.451591, -0.679542
70.54802310718645, 0.475854, -0.626144
77.4263682681127, 0.467444, -0.560285
84.97534359086447, 0.460165, -0.379479
93.26033468832199, 0.467411, -0.229956
102.35310218990269, 0.456547, -0.375172
112.33240329780277, 0.480348, -0.167755
123.28467394420659, 0.438056, -0.191151
135.30477745798075, 0.430104, 0.002762
148.4968262254465, 0.42963, 0.050469
162.97508346206433, 0.403092, 0.042768
178.8649529057435, 0.393371, 0.380458
196.30406500402722, 0.359305, 0.274926
215.44346900318845, 0.350606, 0.845824
236.44894126454074, 0.351164, 0.816753
259.5024211399737, 0.302889, 1.086521
284.8035868435802, 0.293987, 1.397272
312.5715849688235, 0.270794, 1.56371
343.04692863149194, 0.260943, 2.150707
376.49358067924715, 0.265294, 2.43856
413.20124001153386, 0.240455, 2.901305
453.4878508128582, 0.245904, 3.231425
497.7023564332114, 0.249958, 3.948341
546.2277217684342, 0.233207, 4.506509
599.4842503189409, 0.237245, 4.936627
657.9332246575682, 0.267445, 5.704194
722.0809018385471, 0.27605, 6.401252
792.4828983539178, 0.294341, 7.130242
869.7490026177834, 0.330792, 7.923804
954.5484566618347, 0.380277, 8.796471
1047.615752789665, 0.43348, 9.429744
1149.7569953977368, 0.464145, 10.645548
1261.856883066021, 0.543674, 11.398808
1384.886371393873, 0.593434, 12.797898
1519.9110829529347, 0.688238, 13.721817
1668.100537200059, 0.791473, 15.210635
1830.7382802953698, 0.881496, 16.579828
2009.2330025650479, 0.9992, 17.793619
2205.1307399030457, 1.130977, 19.384766
2420.1282647943835, 1.347472, 20.952093
2656.0877829466867, 1.54152, 22.264965
2915.053062825179, 1.766429, 23.999277
3199.2671377973847, 2.019795, 25.480131
3511.1917342151346, 2.33015, 27.136049
3853.5285937105314, 2.684409, 28.595449
4229.242874389499, 3.039718, 29.868874
4641.588833612782, 3.455366, 30.985777
5094.138014816381, 3.957137, 32.117188
5590.8101825122285, 4.529362, 32.223114
6135.907273413175, 5.013827, 32.694141
6734.150657750828, 5.735234, 32.080688
7390.7220335257825, 6.336159, 32.190193
8111.308307896872, 6.995378, 31.203722
8902.150854450392, 7.485922, 30.309315
9770.099572992256, 8.102737, 28.465267
10722.672220103253, 8.706553, 25.365553
11768.119524349991, 9.046003, 19.795633
12915.496650148827, 9.76034, 18.656624
14174.741629268077, 10.133275, 14.237247
15556.761439304722, 10.533116, 9.584154
17073.526474706923, 10.551929, 3.373896
18738.174228603868, 10.620171, -2.218172
20565.123083486513, 10.297009, -7.799209
22570.197196339213, 9.983123, -12.432469
24770.76355991714, 9.398077, -17.064016
27185.8824273294, 8.673491, -20.843122
29836.472402833402, 8.08897, -23.975138
32745.491628777316, 7.46733, -25.417782
35938.13663804626, 7.177993, -26.552902
39442.06059437664, 6.414144, -26.154886
43287.612810830615, 6.039762, -26.45332
47508.101621027934, 5.388968, -26.90308
52140.08287999695, 4.885981, -27.784689
57223.6765935022, 4.367997, -26.832773
62802.914418342596, 3.835042, -25.7848
68926.12104349709, 3.291106, -24.346403
75646.3327554629, 2.797207, -21.938993
83021.75681319751, 2.414836, -20.760145
91116.27561154906, 2.06404, -18.199621
100000, 1.788726, -16.256208
