Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.242291, -6.976223
11.10697248729463, 0.24146, -5.802549
12.336483783351985, 0.188761, -4.256572
13.702098597164685, 0.211023, -2.862972
15.218883213690651, 0.190982, -1.646188
16.90357171418121, 0.192277, -0.53108
18.774750596642246, 0.190187, 0.722514
20.853063833272373, 0.214065, 2.256264
23.161440627195496, 0.222576, 3.43357
25.72534838123684, 0.295718, 5.025184
28.573073669646703, 0.31621, 6.619789
31.736034312620856, 0.397696, 7.882054
35.249125996611816, 0.440915, 9.396134
39.15110726455493, 0.511613, 10.960409
43.485027123453236, 0.583071, 12.459123
48.29869998694558, 0.704724, 14.295057
53.6452331927102, 0.835344, 16.209965
59.58361291459369, 0.962979, 18.263868
66.17935493360051, 1.13109, 20.351929
73.50522744744069, 1.336783, 22.689089
81.64205389310578, 1.59131, 25.165915
90.67960463969513, 1.904889, 27.092525
100.71758738918481, 2.215991, 29.212723
111.86674721183684, 2.506928, 31.661661
124.25008835250149, 3.012919, 33.927696
138.0042312875161, 3.493266, 35.504925
153.2809200040686, 4.014266, 37.394695
170.2486961312397, 4.62563, 39.093872
189.09475839274631, 5.462983, 40.378551
210.02702789598587, 6.199633, 41.431255
233.27644204289766, 6.991395, 41.633915
259.09950237044444, 7.789973, 41.582878
287.7811044300256, 8.607183, 41.129986
319.6376809267557, 9.485943, 40.055683
355.0206927956135, 10.340464, 37.45433
394.3205067301158, 11.282761, 34.442474
437.9707019427473, 12.21347, 29.126402
486.4528536719211, 12.947559, 23.250544
540.3018462099988, 13.441559, 15.113936
600.1117740688951, 13.830626, 5.724254
666.5424963884789, 13.897779, -4.296496
740.3269168999514, 13.564172, -13.601022
822.2790697611417, 13.013618, -21.923809
913.3031004715224, 12.142756, -28.655787
1014.4032409498082, 11.270107, -34.059341
1126.6948888252023, 10.362245, -37.341087
1251.4169131757003, 9.445408, -40.463978
1389.9453224777676, 8.571716, -42.351665
1543.8084455604426, 7.714464, -42.82217
1714.7037930492927, 6.86841, -42.964413
1904.5167853258238, 6.098461, -42.27383
2115.341553620474, 5.310483, -41.074604
2349.504043729368, 4.429515, -39.549049
2609.5876772489564, 3.831976, -37.726997
2898.4618534387228, 3.199567, -35.861485
3219.3136061616897, 2.765235, -33.890408
3575.6827651611143, 2.384444, -31.790352
3971.5010095938082, 1.961972, -29.275312
4411.135244682127, 1.653351, -27.198177
4899.435780042005, 1.348926, -25.123409
5441.789841219344, 1.15079, -22.72887
6044.181004806267, 0.941449, -20.875834
6713.255212861202, 0.791075, -19.248837
7456.394094943663, 0.674118, -17.252234
8281.79640669654, 0.518146, -15.555308
9198.5684834554, 0.452567, -13.995483
10216.82470682345, 0.342664, -12.442123
11347.799092620007, 0.289169, -11.377571
12603.96923130774, 0.211588, -9.678049
13999.19394828431, 0.17604, -8.627689
15548.866202789532, 0.106519, -7.338614
17270.082912300863, 0.129919, -6.498609
19181.83357602228, 0.039303, -5.541755
21305.209778474382, 0.028841, -4.351281
23663.637884555545, 0.004648, -3.350312
26283.137493306134, -0.005566, -2.306349
29192.60850179332, 0.01706, -1.752034
32424.149946178168, 0.0215, -1.129291
36013.41413761165, -0.010932, -0.566638
40000.000000000015, -0.043882, 0.708809
