Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.308573, -10.207098
10.974987654930562, 0.346221, -9.270196
12.045035402587825, 0.296158, -8.468331
13.219411484660288, 0.265411, -7.554395
14.508287784959395, 0.25376, -6.952053
15.922827933410922, 0.300065, -6.456586
17.47528400007684, 0.266442, -5.784124
19.179102616724887, 0.300664, -5.088158
21.04904144512021, 0.291468, -4.588233
23.101297000831604, 0.298914, -4.167558
25.353644939701113, 0.324412, -3.75523
27.825594022071243, 0.329837, -3.359621
30.538555088334157, 0.388007, -3.017255
33.516026509388425, 0.369332, -2.746824
36.783797718286344, 0.375825, -2.6076
40.37017258596554, 0.411597, -2.333575
44.30621457583882, 0.427281, -2.218003
48.62601580065353, 0.457236, -2.10152
53.3669923120631, 0.463361, -2.08168
58.570208180566674, 0.473155, -2.263743
64.28073117284322, 0.452898, -2.243464
70.54802310718645, 0.47772, -2.104353
77.4263682681127, 0.451896, -2.128127
84.97534359086447, 0.446525, -2.290348
93.26033468832199, 0.459965, -2.379109
102.35310218990269, 0.462497, -2.408225
112.33240329780277, 0.449915, -2.735571
123.28467394420659, 0.404415, -2.779971
135.30477745798075, 0.408384, -2.853063
148.4968262254465, 0.389545, -3.105161
162.97508346206433, 0.391179, -3.371028
178.8649529057435, 0.358468, -3.537806
196.30406500402722, 0.321166, -3.696992
215.44346900318845, 0.301499, -3.979875
236.44894126454074, 0.30879, -4.052147
259.5024211399737, 0.249045, -4.421617
284.8035868435802, 0.219549, -4.407887
312.5715849688235, 0.212463, -4.929183
343.04692863149194, 0.18173, -5.000994
376.49358067924715, 0.147298, -5.422763
413.20124001153386, 0.137364, -5.688184
453.4878508128582, 0.112828, -6.058002
497.7023564332114, 0.082792, -6.423917
546.2277217684342, 0.032235, -6.928102
599.4842503189409, -0.017912, -7.249148
657.9332246575682, -0.003882, -7.945447
722.0809018385471, -0.041535, -8.383417
792.4828983539178, -0.058498, -9.046752
869.7490026177834, -0.117395, -9.646473
954.5484566618347, -0.159578, -10.801432
1047.615752789665, -0.229081, -11.441258
1149.7569953977368, -0.300118, -12.523991
1261.856883066021, -0.36136, -13.455467
1384.886371393873, -0.435893, -14.568033
1519.9110829529347, -0.529741, -15.817034
1668.100537200059, -0.664325, -17.18001
1830.7382802953698, -0.779062, -18.517447
2009.2330025650479, -0.962791, -20.061502
2205.1307399030457, -1.11407, -21.531681
2420.1282647943835, -1.301217, -22.901936
2656.0877829466867, -1.570541, -24.668566
2915.053062825179, -1.805934, -26.61183
3199.2671377973847, -2.129061, -28.206959
3511.1917342151346, -2.433156, -29.714853
3853.5285937105314, -2.83873, -31.433758
4229.242874389499, -3.272496, -32.680573
4641.588833612782, -3.753087, -34.03413
5094.138014816381, -4.263888, -34.985569
5590.8101825122285, -4.810061, -35.814903
6135.907273413175, -5.389814, -36.352711
6734.150657750828, -6.02364, -36.606884
7390.7220335257825, -6.739408, -36.124241
8111.308307896872, -7.468255, -35.38686
8902.150854450392, -8.17449, -34.00111
9770.099572992256, -8.926133, -31.508049
10722.672220103253, -9.691442, -28.897499
11768.119524349991, -10.37057, -24.763565
12915.496650148827, -11.085042, -20.046511
14174.741629268077, -11.616982, -14.021531
15556.761439304722, -12.083122, -7.50573
17073.526474706923, -12.234134, 0.194608
18738.174228603868, -12.241172, 8.06016
20565.123083486513, -11.902759, 15.309534
22570.197196339213, -11.423416, 22.235235
24770.76355991714, -10.899549, 27.425821
27185.8824273294, -10.135685, 32.493191
29836.472402833402, -9.197552, 36.762878
32745.491628777316, -8.39366, 38.79575
35938.13663804626, -7.64291, 41.06242
39442.06059437664, -6.82407, 41.961739
43287.612810830615, -6.285045, 42.579662
47508.101621027934, -5.632361, 43.22533
52140.08287999695, -4.978715, 43.499294
57223.6765935022, -4.426766, 43.352528
62802.914418342596, -3.808675, 42.863045
68926.12104349709, -3.345341, 42.701149
75646.3327554629, -2.910502, 42.310768
83021.75681319751, -2.391257, 41.817688
91116.27561154906, -1.971133, 40.135513
100000, -1.560493, 39.314163
