Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.318016, -11.647089
11.10697248729463, 0.262107, -10.614944
12.336483783351985, 0.294512, -9.853926
13.702098597164685, 0.295275, -9.440719
15.218883213690651, 0.271286, -8.54306
16.90357171418121, 0.331559, -8.080925
18.774750596642246, 0.305118, -7.917757
20.853063833272373, 0.297733, -7.742996
23.161440627195496, 0.285032, -7.101826
25.72534838123684, 0.291028, -7.231618
28.573073669646703, 0.292833, -7.395609
31.736034312620856, 0.299923, -7.416968
35.249125996611816, 0.333044, -7.290633
39.15110726455493, 0.311523, -7.756017
43.485027123453236, 0.330703, -8.100461
48.29869998694558, 0.311736, -8.770591
53.6452331927102, 0.32866, -9.369286
59.58361291459369, 0.296651, -10.252636
66.17935493360051, 0.262712, -10.834511
73.50522744744069, 0.208591, -12.037244
81.64205389310578, 0.10786, -13.1307
90.67960463969513, 0.040295, -14.043448
100.71758738918481, -0.018035, -15.385361
111.86674721183684, -0.139621, -16.926828
124.25008835250149, -0.300868, -18.569746
138.0042312875161, -0.457267, -20.367708
153.2809200040686, -0.633759, -21.919767
170.2486961312397, -0.872889, -23.781935
189.09475839274631, -1.149385, -25.572266
210.02702789598587, -1.424442, -27.486866
233.27644204289766, -1.765413, -29.613544
259.09950237044444, -2.147336, -31.363405
287.7811044300256, -2.587707, -33.046169
319.6376809267557, -3.098667, -34.80875
355.0206927956135, -3.664051, -36.340034
394.3205067301158, -4.244893, -37.451832
437.9707019427473, -4.884034, -38.370079
486.4528536719211, -5.544051, -38.84053
540.3018462099988, -6.351224, -38.660419
600.1117740688951, -7.132655, -38.416721
666.5424963884789, -7.947289, -37.176537
740.3269168999514, -8.794953, -35.054264
822.2790697611417, -9.673323, -32.2323
913.3031004715224, -10.515331, -28.050926
1014.4032409498082, -11.236437, -22.654715
1126.6948888252023, -11.863324, -16.141081
1251.4169131757003, -12.274633, -8.619815
1389.9453224777676, -12.425138, -0.246807
1543.8084455604426, -12.272322, 7.871918
1714.7037930492927, -11.854281, 15.407729
1904.5167853258238, -11.230122, 22.035912
2115.341553620474, -10.450953, 27.150713
2349.504043729368, -9.658381, 31.212805
2609.5876772489564, -8.796671, 34.073116
2898.4618534387228, -7.954166, 36.011703
3219.3136061616897, -7.138963, 37.264912
3575.6827651611143, -6.359776, 38.038078
3971.5010095938082, -5.604323, 37.483341
4411.135244682127, -4.938522, 37.029041
4899.435780042005, -4.315335, 35.93795
5441.789841219344, -3.751085, 34.806721
6044.181004806267, -3.218735, 33.397629
6713.255212861202, -2.754054, 31.573967
7456.394094943663, -2.260815, 29.839272
8281.79640669654, -2.033777, 28.151634
9198.5684834554, -1.707858, 26.241871
10216.82470682345, -1.442664, 24.327805
11347.799092620007, -1.242526, 22.763996
12603.96923130774, -1.0258, 21.095827
13999.19394828431, -0.862909, 19.30513
15548.866202789532, -0.724768, 17.821123
17270.082912300863, -0.647836, 16.597368
19181.83357602228, -0.557524, 15.401484
21305.209778474382, -0.481022, 14.48205
23663.637884555545, -0.476217, 13.573735
26283.137493306134, -0.339394, 12.793754
29192.60850179332, -0.289159, 11.980074
32424.149946178168, -0.260339, 11.355886
36013.41413761165, -0.351973, 11.137718
40000.000000000015, -0.228754, 10.29427
