Frequency [Hz], Amplitude [dB], Phase [deg]
10, -2.755694, -45.741611
11.10697248729463, -3.255881, -46.351322
12.336483783351985, -3.836658, -47.7099
13.702098597164685, -4.557407, -49.151031
15.218883213690651, -5.342684, -47.533844
16.90357171418121, -5.978818, -48.484253
18.774750596642246, -6.840073, -47.335777
20.853063833272373, -7.78525, -45.707798
23.161440627195496, -8.651797, -41.902435
25.72534838123684, -9.622029, -39.192436
28.573073669646703, -10.449731, -34.877338
31.736034312620856, -11.271651, -28.824425
35.249125996611816, -11.890656, -22.296394
39.15110726455493, -12.372996, -14.831123
43.485027123453236, -12.601415, -6.168242
48.29869998694558, -12.551911, 2.399159
53.6452331927102, -12.255889, 10.384659
59.58361291459369, -11.712043, 17.598116
66.17935493360051, -11.007687, 23.540943
73.50522744744069, -10.204936, 28.517099
81.64205389310578, -9.323839, 32.066402
90.67960463969513, -8.458623, 34.465954
100.71758738918481, -7.651895, 35.737553
111.86674721183684, -6.91335, 36.7421
124.25008835250149, -6.145856, 37.247005
138.0042312875161, -5.385549, 36.84272
153.2809200040686, -4.767982, 36.161163
170.2486961312397, -4.163783, 35.100193
189.09475839274631, -3.604925, 33.666531
210.02702789598587, -3.090349, 32.17606
233.27644204289766, -2.596594, 30.437363
259.09950237044444, -2.23191, 28.596121
287.7811044300256, -1.882639, 26.576447
319.6376809267557, -1.633176, 24.821985
355.0206927956135, -1.376235, 22.726748
394.3205067301158, -1.164348, 20.740208
437.9707019427473, -0.99365, 19.21644
486.4528536719211, -0.82621, 17.236397
540.3018462099988, -0.701828, 15.698028
600.1117740688951, -0.623612, 14.255683
666.5424963884789, -0.526575, 12.865952
740.3269168999514, -0.44448, 11.560384
822.2790697611417, -0.411585, 10.679852
913.3031004715224, -0.343525, 9.499726
1014.4032409498082, -0.376834, 8.602321
1126.6948888252023, -0.350611, 7.821579
1251.4169131757003, -0.330175, 7.057894
1389.9453224777676, -0.350119, 6.667376
1543.8084455604426, -0.31648, 6.01371
1714.7037930492927, -0.301552, 5.461335
1904.5167853258238, -0.31802, 5.033945
2115.341553620474, -0.325995, 4.89384
2349.504043729368, -0.293076, 4.533677
2609.5876772489564, -0.291124, 4.199766
2898.4618534387228, -0.262798, 4.076019
3219.3136061616897, -0.261966, 3.946224
3575.6827651611143, -0.242523, 3.804157
3971.5010095938082, -0.241686, 3.475445
4411.135244682127, -0.203643, 3.643809
4899.435780042005, -0.166649, 3.557783
5441.789841219344, -0.14283, 3.312922
6044.181004806267, -0.138545, 2.920156
6713.255212861202, -0.074663, 2.936683
7456.394094943663, -0.061153, 3.049877
8281.79640669654, -0.057415, 2.744517
9198.5684834554, -0.04452, 2.762249
10216.82470682345, 0.002294, 2.640341
11347.799092620007, 0.012076, 2.555235
12603.96923130774, -0.017716, 2.539828
13999.19394828431, 0.015296, 2.330445
15548.866202789532, -0.026263, 2.348886
17270.082912300863, 0.018665, 2.370139
19181.83357602228, -0.000458, 2.494434
21305.209778474382, -0.003125, 2.943539
23663.637884555545, -0.036853, 3.387246
26283.137493306134, -0.021697, 3.41946
29192.60850179332, -0.008088, 3.695335
32424.149946178168, 0.025568, 3.887743
36013.41413761165, -0.030787, 4.192379
40000.000000000015, -0.03831, 4.468941
