Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.309501, -10.145763
10.974987654930562, 0.334714, -8.732988
12.045035402587825, 0.254991, -8.267107
13.219411484660288, 0.291149, -7.474741
14.508287784959395, 0.268446, -6.84598
15.922827933410922, 0.313527, -6.482527
17.47528400007684, 0.287391, -5.351759
19.179102616724887, 0.275755, -4.926522
21.04904144512021, 0.309273, -4.247932
23.101297000831604, 0.306907, -3.92402
25.353644939701113, 0.328088, -3.372452
27.825594022071243, 0.336441, -3.088572
30.538555088334157, 0.361235, -2.724458
33.516026509388425, 0.37933, -2.501019
36.783797718286344, 0.395173, -2.010847
40.37017258596554, 0.407981, -2.116007
44.30621457583882, 0.416173, -1.883843
48.62601580065353, 0.439006, -1.696408
53.3669923120631, 0.463258, -1.743736
58.570208180566674, 0.450761, -1.451948
64.28073117284322, 0.485614, -1.366686
70.54802310718645, 0.473262, -1.30949
77.4263682681127, 0.457146, -1.436291
84.97534359086447, 0.449408, -1.379993
93.26033468832199, 0.45401, -1.339928
102.35310218990269, 0.45453, -1.393674
112.33240329780277, 0.43981, -1.413735
123.28467394420659, 0.409433, -1.577543
135.30477745798075, 0.429114, -1.55974
148.4968262254465, 0.392532, -1.428254
162.97508346206433, 0.363449, -1.562032
178.8649529057435, 0.364918, -1.524386
196.30406500402722, 0.362263, -1.62608
215.44346900318845, 0.342156, -1.503973
236.44894126454074, 0.300961, -1.6209
259.5024211399737, 0.246936, -1.52309
284.8035868435802, 0.257352, -1.544508
312.5715849688235, 0.250481, -1.574188
343.04692863149194, 0.219624, -1.374016
376.49358067924715, 0.195872, -1.297134
413.20124001153386, 0.184081, -1.250405
453.4878508128582, 0.173199, -1.190276
497.7023564332114, 0.170412, -0.971157
546.2277217684342, 0.154334, -1.024647
599.4842503189409, 0.131333, -0.888264
657.9332246575682, 0.136202, -0.942447
722.0809018385471, 0.129005, -0.763862
792.4828983539178, 0.10561, -0.670623
869.7490026177834, 0.098114, -0.682743
954.5484566618347, 0.123337, -0.631933
1047.615752789665, 0.076108, -0.832008
1149.7569953977368, 0.106876, -0.669589
1261.856883066021, 0.114223, -0.603642
1384.886371393873, 0.083052, -0.400455
1519.9110829529347, 0.10621, -0.337171
1668.100537200059, 0.071257, -0.571049
1830.7382802953698, 0.09326, -0.411858
2009.2330025650479, 0.105654, -0.384574
2205.1307399030457, 0.106565, -0.450503
2420.1282647943835, 0.061336, -0.462183
2656.0877829466867, 0.064029, -0.322461
2915.053062825179, 0.047483, -0.369772
3199.2671377973847, -0.020264, -0.3492
3511.1917342151346, 0.012971, -0.46607
3853.5285937105314, -0.003774, -0.487768
4229.242874389499, -0.002184, -0.328161
4641.588833612782, 0.013973, -0.530239
5094.138014816381, -0.05359, -0.340043
5590.8101825122285, -0.075224, -0.41705
6135.907273413175, -0.101005, -0.346807
6734.150657750828, -0.130753, -0.296704
7390.7220335257825, -0.133448, -0.299372
8111.308307896872, -0.136241, -0.185992
8902.150854450392, -0.170433, -0.168247
9770.099572992256, -0.194116, 0.283873
10722.672220103253, -0.211866, 0.288651
11768.119524349991, -0.195538, 0.592883
12915.496650148827, -0.242508, 0.929155
14174.741629268077, -0.235114, 1.093877
15556.761439304722, -0.234743, 1.376788
17073.526474706923, -0.233123, 1.583833
18738.174228603868, -0.267828, 2.132562
20565.123083486513, -0.277204, 2.539854
22570.197196339213, -0.29298, 2.825272
24770.76355991714, -0.25171, 3.388371
27185.8824273294, -0.225439, 3.948688
29836.472402833402, -0.208763, 4.302557
32745.491628777316, -0.181957, 4.446393
35938.13663804626, -0.143494, 4.767418
39442.06059437664, -0.160265, 5.421358
43287.612810830615, -0.155879, 5.856878
47508.101621027934, -0.137022, 6.460527
52140.08287999695, -0.093016, 7.126273
57223.6765935022, -0.062849, 7.193233
62802.914418342596, -0.029813, 7.980875
68926.12104349709, 0.023202, 8.41241
75646.3327554629, 0.012005, 8.873536
83021.75681319751, 0.007171, 9.882109
91116.27561154906, 0.124693, 10.149684
100000, 0.111865, 10.965644
