Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.252713, -15.687515
11.10697248729463, 0.25862, -14.985394
12.336483783351985, 0.223569, -14.937219
13.702098597164685, 0.236582, -15.060338
15.218883213690651, 0.135321, -14.704498
16.90357171418121, 0.16928, -15.034837
18.774750596642246, 0.092051, -15.411281
20.853063833272373, 0.034996, -16.043959
23.161440627195496, -0.047832, -16.12583
25.72534838123684, -0.125265, -17.195702
28.573073669646703, -0.151186, -18.061087
31.736034312620856, -0.285233, -18.693747
35.249125996611816, -0.330321, -19.721195
39.15110726455493, -0.414721, -21.121727
43.485027123453236, -0.517746, -22.505932
48.29869998694558, -0.661452, -24.189468
53.6452331927102, -0.773173, -26.096254
59.58361291459369, -0.98296, -28.451006
66.17935493360051, -1.251386, -30.58552
73.50522744744069, -1.523111, -33.09647
81.64205389310578, -1.871746, -35.186275
90.67960463969513, -2.197843, -37.467918
100.71758738918481, -2.526501, -40.268566
111.86674721183684, -3.03309, -43.313065
124.25008835250149, -3.646451, -45.767612
138.0042312875161, -4.194533, -48.296684
153.2809200040686, -4.826035, -50.857391
170.2486961312397, -5.55031, -53.384815
189.09475839274631, -6.337556, -55.30574
210.02702789598587, -7.210802, -57.436024
233.27644204289766, -8.186821, -59.029194
259.09950237044444, -9.222352, -60.363419
287.7811044300256, -10.380154, -61.125248
319.6376809267557, -11.706866, -61.749126
355.0206927956135, -13.115631, -61.416794
394.3205067301158, -14.768196, -59.629822
437.9707019427473, -16.724905, -55.953362
486.4528536719211, -18.964144, -48.636631
540.3018462099988, -21.380301, -34.466862
600.1117740688951, -23.079119, -10.314953
666.5424963884789, -22.680922, 17.241508
740.3269168999514, -20.773207, 36.769672
822.2790697611417, -18.542549, 48.166397
913.3031004715224, -16.488022, 54.373188
1014.4032409498082, -14.705487, 57.604549
1126.6948888252023, -13.148811, 59.147934
1251.4169131757003, -11.78084, 59.722752
1389.9453224777676, -10.55066, 59.364201
1543.8084455604426, -9.414375, 58.633369
1714.7037930492927, -8.411815, 57.60014
1904.5167853258238, -7.464337, 56.022465
2115.341553620474, -6.63422, 54.187851
2349.504043729368, -5.824347, 52.186623
2609.5876772489564, -5.134277, 49.938046
2898.4618534387228, -4.464423, 47.830223
3219.3136061616897, -3.894215, 45.247353
3575.6827651611143, -3.334019, 42.784477
3971.5010095938082, -2.840008, 39.799019
4411.135244682127, -2.425108, 37.572334
4899.435780042005, -2.082508, 34.86932
5441.789841219344, -1.750313, 32.571445
6044.181004806267, -1.517157, 29.962574
6713.255212861202, -1.222025, 27.739368
7456.394094943663, -1.006569, 25.788879
8281.79640669654, -0.884811, 23.616613
9198.5684834554, -0.708028, 21.739424
10216.82470682345, -0.574202, 19.910358
11347.799092620007, -0.443628, 18.097486
12603.96923130774, -0.332796, 16.495352
13999.19394828431, -0.30156, 15.21696
15548.866202789532, -0.258867, 13.995216
17270.082912300863, -0.191065, 12.931608
19181.83357602228, -0.162689, 12.279888
21305.209778474382, -0.109178, 11.562408
23663.637884555545, -0.09394, 10.850075
26283.137493306134, -0.034365, 10.504846
29192.60850179332, -0.040398, 9.943537
32424.149946178168, -0.045246, 9.238316
36013.41413761165, -0.039366, 8.833561
40000.000000000015, -0.040145, 8.864854
