Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.240896, -10.548084
11.10697248729463, 0.209328, -9.252901
12.336483783351985, 0.216316, -8.4984
13.702098597164685, 0.197917, -7.694061
15.218883213690651, 0.16597, -6.681663
16.90357171418121, 0.160507, -6.259218
18.774750596642246, 0.155377, -5.420804
20.853063833272373, 0.11772, -4.858211
23.161440627195496, 0.140341, -4.124724
25.72534838123684, 0.153324, -3.686708
28.573073669646703, 0.128792, -3.115239
31.736034312620856, 0.130154, -2.534544
35.249125996611816, 0.110068, -2.079007
39.15110726455493, 0.129316, -1.624815
43.485027123453236, 0.136693, -1.093288
48.29869998694558, 0.122994, -0.696406
53.6452331927102, 0.192414, -0.427626
59.58361291459369, 0.188795, 0.226378
66.17935493360051, 0.196955, 0.641518
73.50522744744069, 0.223504, 1.008328
81.64205389310578, 0.268892, 1.370204
90.67960463969513, 0.315067, 1.874931
100.71758738918481, 0.366007, 2.068097
111.86674721183684, 0.380391, 2.482151
124.25008835250149, 0.448995, 2.810427
138.0042312875161, 0.53669, 2.875166
153.2809200040686, 0.589998, 3.032868
170.2486961312397, 0.668925, 3.116163
189.09475839274631, 0.728278, 3.359607
210.02702789598587, 0.815516, 3.297748
233.27644204289766, 0.881201, 3.240456
259.09950237044444, 0.969535, 3.220713
287.7811044300256, 1.059303, 2.827826
319.6376809267557, 1.075594, 2.354774
355.0206927956135, 1.165245, 2.122035
394.3205067301158, 1.195411, 1.659525
437.9707019427473, 1.243242, 1.14488
486.4528536719211, 1.231564, 0.696931
540.3018462099988, 1.25727, 0.028818
600.1117740688951, 1.263173, -0.577737
666.5424963884789, 1.249744, -1.220063
740.3269168999514, 1.223992, -1.82777
822.2790697611417, 1.178621, -2.290594
913.3031004715224, 1.10885, -2.637622
1014.4032409498082, 1.05383, -3.143337
1126.6948888252023, 1.015144, -3.527958
1251.4169131757003, 0.919104, -3.963975
1389.9453224777676, 0.816546, -4.002168
1543.8084455604426, 0.744925, -4.220427
1714.7037930492927, 0.623946, -4.247947
1904.5167853258238, 0.556821, -4.091666
2115.341553620474, 0.457642, -4.144331
2349.504043729368, 0.394001, -3.984677
2609.5876772489564, 0.329709, -3.627126
2898.4618534387228, 0.26153, -3.364598
3219.3136061616897, 0.200115, -3.013435
3575.6827651611143, 0.150633, -2.724506
3971.5010095938082, 0.086566, -2.204226
4411.135244682127, 0.030622, -1.88764
4899.435780042005, 0.037677, -1.598267
5441.789841219344, 0.006936, -1.395045
6044.181004806267, 0.00023, -0.910036
6713.255212861202, -0.016355, -0.797094
7456.394094943663, -0.002581, -0.549541
8281.79640669654, -0.01042, -0.076467
9198.5684834554, 0.013662, 0.056175
10216.82470682345, -0.007538, 0.262753
11347.799092620007, 0.024944, 0.1682
12603.96923130774, -0.033619, 0.403905
13999.19394828431, -0.003741, 0.572377
15548.866202789532, -0.041987, 0.871735
17270.082912300863, -0.031375, 1.075369
19181.83357602228, -0.018661, 1.574093
21305.209778474382, -0.026567, 1.886089
23663.637884555545, -0.005583, 2.257025
26283.137493306134, -0.022606, 2.588855
29192.60850179332, -0.032386, 3.03502
32424.149946178168, -0.000929, 3.090482
36013.41413761165, 0.003374, 3.350646
40000.000000000015, -0.014357, 3.899864
