Frequency [Hz], Amplitude [dB], Phase [deg]
10, 4.4107, 39.804447
11.10697248729463, 5.103711, 42.395893
12.336483783351985, 5.901045, 45.40266
13.702098597164685, 6.584404, 48.226727
15.218883213690651, 7.756568, 51.541512
16.90357171418121, 8.360859, 52.122528
18.774750596642246, 9.414182, 54.557804
20.853063833272373, 10.482277, 56.08596
23.161440627195496, 12.103627, 56.307537
25.72534838123684, 13.335419, 56.851673
28.573073669646703, 14.891183, 54.84034
31.736034312620856, 16.802446, 50.214733
35.249125996611816, 18.601654, 40.434399
39.15110726455493, 20.279373, 25.060036
43.485027123453236, 21.174713, 0.609751
48.29869998694558, 20.507875, -24.483236
53.6452331927102, 18.838108, -40.731213
59.58361291459369, 17.066715, -51.441433
66.17935493360051, 15.278174, -56.671982
73.50522744744069, 13.676519, -58.827801
81.64205389310578, 12.285954, -59.65691
90.67960463969513, 11.105361, -59.56575
100.71758738918481, 10.02617, -60.054813
111.86674721183684, 8.956996, -59.187485
124.25008835250149, 8.053771, -57.270561
138.0042312875161, 7.154334, -55.710197
153.2809200040686, 6.395662, -53.572849
170.2486961312397, 5.498127, -51.3965
189.09475839274631, 4.682295, -48.924618
210.02702789598587, 4.059561, -46.312462
233.27644204289766, 3.490232, -43.595943
259.09950237044444, 3.018455, -41.073597
287.7811044300256, 2.568068, -38.075466
319.6376809267557, 2.180801, -35.847401
355.0206927956135, 1.859963, -33.25423
394.3205067301158, 1.59247, -30.64296
437.9707019427473, 1.304123, -28.291451
486.4528536719211, 1.101213, -25.895048
540.3018462099988, 0.918849, -24.002014
600.1117740688951, 0.754719, -21.771151
666.5424963884789, 0.594607, -20.076635
740.3269168999514, 0.46367, -18.259155
822.2790697611417, 0.368498, -16.489574
913.3031004715224, 0.277206, -15.11594
1014.4032409498082, 0.168001, -13.722836
1126.6948888252023, 0.055635, -12.290521
1251.4169131757003, 0.033079, -11.005695
1389.9453224777676, -0.039986, -9.876369
1543.8084455604426, -0.094635, -8.769292
1714.7037930492927, -0.127797, -8.028374
1904.5167853258238, -0.137424, -7.082756
2115.341553620474, -0.165968, -6.10271
2349.504043729368, -0.197557, -5.309304
2609.5876772489564, -0.195406, -4.672295
2898.4618534387228, -0.199221, -3.944248
3219.3136061616897, -0.200625, -3.428782
3575.6827651611143, -0.216501, -2.668731
3971.5010095938082, -0.167355, -2.381839
4411.135244682127, -0.136544, -2.114341
4899.435780042005, -0.156505, -1.518294
5441.789841219344, -0.130621, -1.153584
6044.181004806267, -0.133439, -0.921647
6713.255212861202, -0.114374, -0.720569
7456.394094943663, -0.048112, -0.39263
8281.79640669654, -0.074721, -0.185839
9198.5684834554, -0.062918, 0.16509
10216.82470682345, -0.067654, 0.249332
11347.799092620007, -0.088339, 0.56528
12603.96923130774, -0.007539, 0.545017
13999.19394828431, -0.042564, 0.718052
15548.866202789532, -0.03409, 0.987548
17270.082912300863, -0.069152, 1.113036
19181.83357602228, -0.061019, 1.481257
21305.209778474382, -0.027113, 1.847375
23663.637884555545, -0.043565, 2.300488
26283.137493306134, -0.020737, 2.56165
29192.60850179332, -0.049159, 2.738603
32424.149946178168, 0.008617, 3.112168
36013.41413761165, -0.067239, 3.341506
40000.000000000015, -0.061717, 4.116022
