Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.298711, -7.924728
11.10697248729463, 0.304222, -6.652525
12.336483783351985, 0.312362, -5.422991
13.702098597164685, 0.286151, -4.436703
15.218883213690651, 0.298003, -3.089427
16.90357171418121, 0.331795, -1.959081
18.774750596642246, 0.332217, -0.798829
20.853063833272373, 0.336975, 0.203614
23.161440627195496, 0.353872, 0.903402
25.72534838123684, 0.384045, 2.021349
28.573073669646703, 0.455064, 3.096299
31.736034312620856, 0.480246, 3.944573
35.249125996611816, 0.511061, 4.923111
39.15110726455493, 0.49959, 5.952924
43.485027123453236, 0.558325, 7.015598
48.29869998694558, 0.604954, 8.057538
53.6452331927102, 0.647047, 9.25582
59.58361291459369, 0.690402, 10.675816
66.17935493360051, 0.794374, 11.931056
73.50522744744069, 0.869142, 13.312464
81.64205389310578, 0.945572, 14.897018
90.67960463969513, 1.02995, 16.46035
100.71758738918481, 1.09998, 18.200556
111.86674721183684, 1.225078, 20.293793
124.25008835250149, 1.350138, 22.284157
138.0042312875161, 1.543226, 24.342751
153.2809200040686, 1.701018, 26.605944
170.2486961312397, 1.966593, 29.307186
189.09475839274631, 2.246223, 31.820402
210.02702789598587, 2.57466, 34.535927
233.27644204289766, 2.982137, 37.207638
259.09950237044444, 3.405176, 39.973839
287.7811044300256, 3.920753, 43.050293
319.6376809267557, 4.462392, 45.404587
355.0206927956135, 5.211649, 47.838093
394.3205067301158, 5.955845, 50.276104
437.9707019427473, 6.801183, 52.049034
486.4528536719211, 7.652934, 54.320148
540.3018462099988, 8.557233, 56.137363
600.1117740688951, 9.515463, 57.489304
666.5424963884789, 10.610373, 58.47646
740.3269168999514, 11.801127, 58.494892
822.2790697611417, 13.148461, 58.588482
913.3031004715224, 14.703314, 56.209511
1014.4032409498082, 16.379486, 52.563358
1126.6948888252023, 18.330206, 45.690887
1251.4169131757003, 20.237299, 31.667742
1389.9453224777676, 20.937502, 7.147309
1543.8084455604426, 20.461363, -15.308173
1714.7037930492927, 18.63381, -35.349438
1904.5167853258238, 16.556681, -46.151085
2115.341553620474, 14.89053, -52.430866
2349.504043729368, 13.209765, -55.277657
2609.5876772489564, 12.003139, -57.174049
2898.4618534387228, 10.627097, -57.204868
3219.3136061616897, 9.579433, -56.967999
3575.6827651611143, 8.558166, -55.732235
3971.5010095938082, 7.645399, -54.596523
4411.135244682127, 6.749171, -52.878735
4899.435780042005, 6.005804, -50.68705
5441.789841219344, 5.244858, -48.447483
6044.181004806267, 4.501274, -45.699184
6713.255212861202, 3.84302, -42.784962
7456.394094943663, 3.236768, -39.972717
8281.79640669654, 2.820251, -37.301579
9198.5684834554, 2.368297, -35.075436
10216.82470682345, 2.023023, -31.962307
11347.799092620007, 1.733861, -29.56892
12603.96923130774, 1.453224, -27.02511
13999.19394828431, 1.251031, -24.42576
15548.866202789532, 1.030547, -21.942381
17270.082912300863, 0.847316, -19.944498
19181.83357602228, 0.720339, -17.793085
21305.209778474382, 0.600613, -15.480265
23663.637884555545, 0.513553, -13.339732
26283.137493306134, 0.392967, -11.49785
29192.60850179332, 0.412326, -10.116114
32424.149946178168, 0.311431, -8.27261
36013.41413761165, 0.239388, -6.859021
40000.000000000015, 0.268096, -5.739723
