Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.305269, -8.595566
11.10697248729463, 0.296601, -7.374934
12.336483783351985, 0.293976, -6.251889
13.702098597164685, 0.311409, -5.249578
15.218883213690651, 0.297433, -4.127261
16.90357171418121, 0.293626, -3.113383
18.774750596642246, 0.316099, -2.330212
20.853063833272373, 0.315002, -1.341757
23.161440627195496, 0.341789, -0.373181
25.72534838123684, 0.383974, 0.364605
28.573073669646703, 0.388201, 1.372701
31.736034312620856, 0.427689, 2.106296
35.249125996611816, 0.446176, 2.939543
39.15110726455493, 0.494848, 3.465752
43.485027123453236, 0.556452, 4.38439
48.29869998694558, 0.563367, 5.229699
53.6452331927102, 0.597164, 6.029444
59.58361291459369, 0.646618, 6.883804
66.17935493360051, 0.698914, 7.875236
73.50522744744069, 0.759182, 8.99614
81.64205389310578, 0.792103, 10.128908
90.67960463969513, 0.90615, 11.360392
100.71758738918481, 0.915733, 12.349622
111.86674721183684, 1.017781, 13.879384
124.25008835250149, 1.123321, 15.30604
138.0042312875161, 1.206482, 16.686861
153.2809200040686, 1.385682, 18.379032
170.2486961312397, 1.533542, 20.159056
189.09475839274631, 1.742063, 22.029696
210.02702789598587, 1.975084, 23.812309
233.27644204289766, 2.253126, 25.852926
259.09950237044444, 2.620929, 27.739138
287.7811044300256, 2.998234, 29.46542
319.6376809267557, 3.406691, 31.393658
355.0206927956135, 3.867312, 32.883339
394.3205067301158, 4.433584, 34.053886
437.9707019427473, 5.188625, 35.070114
486.4528536719211, 5.861649, 35.930347
540.3018462099988, 6.681808, 35.908035
600.1117740688951, 7.345503, 35.46838
666.5424963884789, 8.074059, 34.563175
740.3269168999514, 8.863388, 32.370239
822.2790697611417, 9.600024, 30.130619
913.3031004715224, 10.307494, 26.397949
1014.4032409498082, 10.973965, 21.469517
1126.6948888252023, 11.469691, 14.954082
1251.4169131757003, 11.866446, 8.917857
1389.9453224777676, 12.033442, 0.912364
1543.8084455604426, 11.872355, -6.92417
1714.7037930492927, 11.498525, -13.949151
1904.5167853258238, 10.945093, -20.270498
2115.341553620474, 10.3148, -25.700108
2349.504043729368, 9.569875, -29.669674
2609.5876772489564, 8.833253, -32.622978
2898.4618534387228, 8.075774, -34.879379
3219.3136061616897, 7.295679, -35.735821
3575.6827651611143, 6.605077, -36.187298
3971.5010095938082, 5.890547, -36.05267
4411.135244682127, 5.139636, -35.888817
4899.435780042005, 4.5033, -34.51086
5441.789841219344, 3.840207, -33.013771
6044.181004806267, 3.334687, -31.536371
6713.255212861202, 2.844639, -29.589581
7456.394094943663, 2.426593, -28.312069
8281.79640669654, 2.07703, -26.223297
9198.5684834554, 1.767649, -24.604837
10216.82470682345, 1.470914, -22.735924
11347.799092620007, 1.217408, -20.608622
12603.96923130774, 1.059262, -18.936377
13999.19394828431, 0.906683, -16.916458
15548.866202789532, 0.775769, -15.323043
17270.082912300863, 0.600457, -13.647774
19181.83357602228, 0.501495, -11.991012
21305.209778474382, 0.403316, -10.47159
23663.637884555545, 0.301699, -8.912913
26283.137493306134, 0.269319, -7.464562
29192.60850179332, 0.190694, -6.27767
32424.149946178168, 0.206513, -5.523001
36013.41413761165, 0.160368, -4.040417
40000.000000000015, 0.131562, -2.648215
