Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.300418, -12.060213
11.10697248729463, 0.275944, -11.179738
12.336483783351985, 0.290319, -10.729474
13.702098597164685, 0.31461, -10.072716
15.218883213690651, 0.245669, -9.594542
16.90357171418121, 0.295784, -9.407375
18.774750596642246, 0.269206, -8.926781
20.853063833272373, 0.288177, -8.89544
23.161440627195496, 0.249174, -8.614904
25.72534838123684, 0.260743, -8.856178
28.573073669646703, 0.292693, -8.83462
31.736034312620856, 0.28229, -9.045367
35.249125996611816, 0.288251, -9.339894
39.15110726455493, 0.296151, -10.06723
43.485027123453236, 0.2774, -10.629912
48.29869998694558, 0.285526, -11.464226
53.6452331927102, 0.282348, -12.323752
59.58361291459369, 0.227586, -13.369552
66.17935493360051, 0.172838, -14.647068
73.50522744744069, 0.081041, -16.176483
81.64205389310578, -0.028157, -17.619244
90.67960463969513, -0.111729, -19.058964
100.71758738918481, -0.216441, -20.786022
111.86674721183684, -0.336044, -23.052736
124.25008835250149, -0.55894, -25.172428
138.0042312875161, -0.764415, -27.167871
153.2809200040686, -1.015864, -29.836613
170.2486961312397, -1.29287, -32.317394
189.09475839274631, -1.614858, -34.803108
210.02702789598587, -1.967051, -37.588924
233.27644204289766, -2.41788, -40.322105
259.09950237044444, -2.913637, -43.008236
287.7811044300256, -3.496661, -45.524525
319.6376809267557, -4.107227, -48.013744
355.0206927956135, -4.74769, -50.469028
394.3205067301158, -5.488609, -52.639648
437.9707019427473, -6.340762, -54.669205
486.4528536719211, -7.217656, -56.59446
540.3018462099988, -8.212592, -58.128235
600.1117740688951, -9.285118, -59.258301
666.5424963884789, -10.528061, -59.783894
740.3269168999514, -11.80697, -59.678741
822.2790697611417, -13.34385, -58.651417
913.3031004715224, -15.044457, -56.016022
1014.4032409498082, -17.020048, -50.957996
1126.6948888252023, -19.213247, -41.530067
1251.4169131757003, -21.334806, -24.585497
1389.9453224777676, -22.270388, 0.719999
1543.8084455604426, -21.18327, 25.021
1714.7037930492927, -19.077662, 40.911011
1904.5167853258238, -16.923008, 49.917709
2115.341553620474, -15.020169, 54.600639
2349.504043729368, -13.31228, 57.263836
2609.5876772489564, -11.828247, 58.380405
2898.4618534387228, -10.518128, 58.362869
3219.3136061616897, -9.324323, 57.880249
3575.6827651611143, -8.279847, 56.456776
3971.5010095938082, -7.291885, 54.998005
4411.135244682127, -6.448345, 53.312241
4899.435780042005, -5.613338, 51.152546
5441.789841219344, -4.914983, 48.853413
6044.181004806267, -4.298759, 46.350655
6713.255212861202, -3.684947, 43.798508
7456.394094943663, -3.167299, 41.319126
8281.79640669654, -2.690157, 38.50378
9198.5684834554, -2.350888, 35.797935
10216.82470682345, -1.993289, 33.469711
11347.799092620007, -1.679628, 30.938288
12603.96923130774, -1.451749, 28.836863
13999.19394828431, -1.234468, 26.38586
15548.866202789532, -1.029343, 24.267962
17270.082912300863, -0.905366, 22.320248
19181.83357602228, -0.827084, 20.851198
21305.209778474382, -0.706841, 18.696032
23663.637884555545, -0.595095, 17.969797
26283.137493306134, -0.513279, 16.84341
29192.60850179332, -0.457627, 15.819637
32424.149946178168, -0.366587, 14.486216
36013.41413761165, -0.420462, 13.619788
40000.000000000015, -0.329595, 13.332253
